candidate_id,layer_count,sources_per_layer_mean,radius,z_extent,angular_offset_fraction,orientation_alpha,eig_smooth_background,eig_center_weak_target,eig_eccentric_roi_target,eig_weighted,eig_weighted_minmax,eig_weighted_zscore
cand_0216,2,24.0,1.2891196017614925,0.5762309398377443,0.5123371397320662,0.9149617478347988,3.5419692993164062,3.579775333404541,3.620081901550293,3.5796428561210636,1.0,2.8232682936934284
cand_0007,3,16.0,1.2958881625760221,0.5832733779768997,0.06740085309064531,0.24291143280203215,3.479065179824829,3.5138168334960938,3.56302809715271,3.5176474153995514,0.8751858782119252,2.2523432358891493
cand_0231,2,24.0,1.3227533059803067,0.5881710238186759,0.6559335972797968,0.17423060413239005,3.4757885932922363,3.5132007598876953,3.5612263679504395,3.5157148241996765,0.8712950328436134,2.23454572159359
cand_0203,4,12.0,1.2654268145647471,0.5990973763377537,0.7720489480564887,0.6986430140289809,3.470278024673462,3.50541353225708,3.5484619140625,3.507106828689575,0.8539647358500767,2.155273435164334
cand_0172,2,24.0,1.3259169024705042,0.5678229211440704,0.7107126582137032,0.13019147551258778,3.4661214351654053,3.50342059135437,3.5511744022369385,3.505885875225067,0.8515066158231337,2.14402949659098
cand_0097,3,16.0,1.2622009435546346,0.5566077076722565,0.3354736697674767,0.22516225716721489,3.4606778621673584,3.494150161743164,3.543954610824585,3.4986213028430946,0.8368810044641498,2.0771289897338416
cand_0236,2,24.0,1.2567988720305119,0.4102591976763933,0.807994914695482,0.20763336102228466,3.450038433074951,3.487091302871704,3.5321531295776367,3.4887678921222687,0.8170433391225703,1.9863874929417267
cand_0181,2,24.0,1.3524699974189767,0.5703436864191544,0.4748865550632334,0.6652037407625883,3.44867205619812,3.485974073410034,3.5282955169677734,3.4866728365421293,0.8128254076216567,1.967093820467209
cand_0218,2,24.0,1.2940410893830634,0.41456281172163945,0.5318726572601287,0.897145091592742,3.4436097145080566,3.4815666675567627,3.518296957015991,3.4802190780639646,0.7998321909058834,1.9076602171357544
cand_0106,2,24.0,1.350906531957699,0.4855804078232664,0.9368873189795887,0.8563361485347103,3.443049669265747,3.4807708263397217,3.518306016921997,3.4797673583030697,0.798922752976348,1.9035002639585725
cand_0140,2,24.0,1.261080686375719,0.322342064640715,0.8247391864556497,0.6289783147821875,3.4342567920684814,3.4719080924987793,3.5104660987854004,3.471261489391327,0.7817980653233857,1.8251684762723348
cand_0017,4,12.0,1.2836168975836408,0.5647437789905599,0.16366755839557473,0.268529825051722,3.432281970977783,3.466798782348633,3.5135762691497803,3.4699205815792085,0.7790984437218526,1.8128198606123056
cand_0149,2,24.0,1.2732860341459513,0.276228144286428,0.024569032429191662,0.018620205036012725,3.4225032329559326,3.458064556121826,3.5047037601470947,3.460775834321976,0.7606875156826018,1.7286045490397342
